;blade;f_rot;start_idx;end_idx;b0e;b1e;b2e;b0f;b1f;b2f;r2e;r2f;pitch1;pitch2;alpha;gamma1;gamma2;create_time;pitch1_deg;pitch2_deg;alpha_deg;gamma1_deg;gamma2_deg
0;1;0.21303792074989347;6221;10915;152.04351244620977;-972.2024285963917;-18863.9975570056;-35.41856853531481;-1171.5073193398591;4521.522034351189;0.9964491558920532;0.9111914778418748;0.6926927020567616;-0.23525236798273325;;0.21670885770987286;-0.062142802060669244;20201213_181230;39.68836832736544;-13.47896780586919;;12.416502929876806;-3.5605202851932227
1;1;0.2114611968703743;8529;13258;108.31767383803852;-1011.9257097768866;-18778.59017127626;-17.68503780119893;-1038.0317039059023;4573.679100589759;0.9964753074628557;0.8743567847581644;0.7726639559338334;-0.2389066374693551;;0.22309587298713351;-0.05530559302283059;20201213_181230;44.27038365689088;-13.68834202465606;;12.78245194894942;-3.168777063676366
2;1;0.2087246921310791;10915;15706;196.31528414317398;-1157.412740385771;-18653.32679668909;-110.35220055193281;-933.4788141427517;4558.853017739208;0.9978390027225785;0.8701587487071525;0.8920912006752246;-0.23970015559034064;;0.2566921134113101;-0.0500644679377983;20201213_181230;51.11306073944855;-13.733807263955685;;14.707374732761545;-2.8684827164038706
3;1;0.20554984583761562;13258;18123;53.633228183316916;-1620.7613298486517;-18467.08871041701;-32.57457006234181;-933.848486587847;4475.059107182164;0.9983044452836373;0.9027182250086961;1.0480765207316247;-0.23774330840535596;;0.3706018836536596;-0.050589833521988294;20201213_181230;60.050361244677624;-13.621688179104007;;21.23392381295307;-2.8985839470793824
4;1;0.2028809089064719;15706;20635;158.78055566877865;-2013.2905320076495;-18316.03988191097;-15.607475955554804;-906.2242797613244;4490.588612899941;0.9978731432504956;0.8966454268609755;1.1478418095189546;-0.24042996353697826;;0.46490239030191804;-0.049497294736896534;20201213_181230;65.76649123409545;-13.77562217915313;;26.636944849843637;-2.835986085739274
5;1;0.20004000800160032;18123;23122;72.29109145599911;-2057.0138447669087;-18122.2178183271;-39.40224011979787;-869.7812599458957;4467.159106466532;0.9966148693068145;0.909790554484616;1.170759310412289;-0.24168352857508474;;0.47852991754003205;-0.048013744558138276;20201213_181230;67.07956731227083;-13.847446165181788;;27.417744645787142;-2.750984921800547
6;1;0.19712201852946973;20635;25708;82.8657814589193;-1967.7405538073672;-17990.090000297612;-42.93121879831163;-908.4921768276017;4433.040197853266;0.996720790212797;0.948254751706086;1.1382611011924877;-0.2416023475273077;;0.45992466598369613;-0.050521079182187505;20201213_181230;65.21755708224306;-13.842794833767712;;26.351742254829887;-2.894644613585589
7;1;0.19735543714229328;23122;28189;228.9736089563031;-1363.6611646544163;-18126.835054774627;-64.93750278433828;-1013.1220001224472;4467.7809568371995;0.9965442549037079;0.9583258053536986;0.9318272619865082;-0.24165667697241447;;0.31017063430563047;-0.05591986689838704;20201213_181230;53.38976934705818;-13.845907681675616;;17.771468274608292;-3.2039723642108946
8;1;0.1948178453146308;25708;30841;363.18539567849723;-374.5765203015128;-18060.787962307215;-138.86607601432166;-1279.663720810078;4361.14438965045;0.997947420271025;0.9596430811674758;0.28475980385688315;-0.23693476554648088;;0.0859954554637621;-0.0709125669101223;20201213_181230;16.315534935972547;-13.575362085735023;;4.927176655378804;-4.062990798389064
9;1;0.19421246844047388;28189;33338;338.78894655092984;213.43474006302552;-18051.36861227341;-103.38738734520877;-1406.224377230193;4294.244526607425;0.9978906528474955;0.9548118077290767;-0.15062893531209548;-0.2335491776015961;;-0.049722998451405626;-0.07798026894294402;20201213_181230;-8.630402265932162;-13.381382185322755;;-2.8489179560010705;-4.467940295725781
